date,½µÓê¾ùÖµ,Õô·¢,flow
2005/1/1,0,1.5,13.1
2005/1/2,0.08,1.4,11.5
2005/1/3,0,0.6,8.47
2005/1/4,0,0.9,8.98
2005/1/5,0.8,0.5,8.42
2005/1/6,0,0.8,9.61
2005/1/7,0.08,1.1,7.62
2005/1/8,0.53,1.2,8.03
2005/1/9,1.98,1,9.3
2005/1/10,3.72,0.6,8.02
2005/1/11,4.57,0.8,11.5
2005/1/12,20.17,0.3,19.2
2005/1/13,1.72,0.2,21.3
2005/1/14,0,0.5,19.1
2005/1/15,0,1.3,16
2005/1/16,0,1,15.3
2005/1/17,0,1.2,14.5
2005/1/18,0.47,0.3,10.9
2005/1/19,0.37,0.3,8.24
2005/1/20,5.43,0.2,11.9
2005/1/21,1.62,0.2,15.6
2005/1/22,9.65,0.5,11.7
2005/1/23,0.1,0.5,23.5
2005/1/24,2.13,0.6,17.9
2005/1/25,6.13,0.9,15.4
2005/1/26,7.93,0.8,19.8
2005/1/27,16.32,0.5,23.6
2005/1/28,5.53,0.2,56.3
2005/1/29,4.77,0.1,56.3
2005/1/30,0.8,0.9,40.5
2005/1/31,0,1.3,30.6
2005/2/1,0,1.3,29.1
2005/2/2,2.98,0.7,24.7
2005/2/3,12.38,0.4,25.2
2005/2/4,1.25,0.2,26
2005/2/5,0.03,0.5,43.3
2005/2/6,4.38,0,25.6
2005/2/7,7.58,0.7,26.7
2005/2/8,0.55,0.6,25
2005/2/9,1.8,1,29.3
2005/2/10,9.13,0.8,25.2
2005/2/11,7.72,0.6,31.6
2005/2/12,0.57,0.6,31.4
2005/2/13,2.73,0.4,31.1
2005/2/14,4.57,0.1,28.2
2005/2/15,17.32,0,32
2005/2/16,59.05,0.7,79.8
2005/2/17,12.68,0.5,415
2005/2/18,1.67,0.7,192
2005/2/19,0,1.6,103
2005/2/20,0,1.8,67.9
2005/2/21,0.1,1.5,57.7
2005/2/22,0,1.1,46.6
2005/2/23,2.52,0.6,44.3
2005/2/24,0.22,0.9,39.2
2005/2/25,4.85,0.4,40.9
2005/2/26,7.9,1,38.1
2005/2/27,11.78,0.7,46.7
2005/2/28,0,1.1,54.7
2005/3/1,1.03,0.8,55
2005/3/2,8.02,0.2,40.5
2005/3/3,0,0.8,45.5
2005/3/4,0,2.5,41.9
2005/3/5,0,3.1,33.9
2005/3/6,0,2.6,30.2
2005/3/7,0,1.7,30.1
2005/3/8,0.48,1.2,27.6
2005/3/9,0.17,1.4,25.1
2005/3/10,13.58,0.3,22.4
2005/3/11,7.47,2.1,29.9
2005/3/12,9.08,1.4,31.5
2005/3/13,0,1.9,34.5
2005/3/14,0,1.7,32.2
2005/3/15,0.08,1.3,29.1
2005/3/16,5.8,0.2,27.6
2005/3/17,0,2.2,26.9
2005/3/18,0,2.8,28.7
2005/3/19,0,2.6,24.2
2005/3/20,0,2.2,23.4
2005/3/21,1.95,1.8,13.3
2005/3/22,22.72,1.3,33.2
2005/3/23,0,2.2,43.8
2005/3/24,0,2.4,45.7
2005/3/25,0.27,2.4,46.6
2005/3/26,21.7,0.2,42.4
2005/3/27,16.17,0.1,67.3
2005/3/28,1.15,0.9,116
2005/3/29,19.43,0.6,117
2005/3/30,7.95,0.5,146
2005/3/31,0,1.3,112
2005/4/1,3.97,0.2,78.3
2005/4/2,0,1.3,66
